,Latitude,Longitude,Depth,Magnitude,kluster
0,-8.55,121.91842,10.0,3.34,2
1,-7.53,121.58232,10.0,3.11,2
2,-7.36,121.23427,15.0,2.58,2
3,-8.02,122.40597,10.0,3.41,2
4,-7.51,121.63541,10.0,2.64,2
5,-7.53,122.17661,19.3,3.33,0
6,-7.53,122.13267,22.9,3.19,0
7,-7.6,122.26527,29.0,3.16,0
8,-7.63,122.36167,28.6,3.1,0
9,-7.54,121.59744,10.0,3.18,2
10,-7.62,122.2998,28.3,2.9,0
11,-7.66,122.3599,12.9,4.78,2
12,-7.58,121.6464,10.0,4.63,2
13,-7.56,122.0582,10.0,2.95,2
14,-8.0,122.41056,10.0,3.54,2
15,-7.43,121.93666,15.7,3.29,2
16,-7.55,121.8409,14.3,2.99,2
17,-7.59,122.21394,18.1,2.81,2
18,-7.55,121.83296,27.6,2.81,0
19,-7.55,122.1382,10.0,3.03,2
20,-7.71,122.43798,18.3,2.81,2
21,-7.56,122.09481,19.2,3.09,0
22,-7.46,121.49958,24.4,2.82,0
23,-7.58,121.65456,10.0,2.99,2
24,-7.51,121.90776,11.4,3.0,2
25,-7.48,121.62644,14.9,3.06,2
26,-7.5,122.41899,13.9,3.26,2
27,-8.09,124.42062,10.0,2.36,2
28,-7.36,121.09879,10.0,3.1,2
29,-7.36,121.10036,10.0,3.64,2
30,-7.56,122.0807,21.2,2.61,0
31,-7.8,122.27779,26.7,2.96,0
32,-8.12,122.56869,102.1,2.84,1
33,-7.92,122.32954,21.7,2.68,0
34,-7.38,121.08533,10.0,2.94,2
35,-7.77,122.4837,14.0,2.67,2
36,-8.67,122.86478,94.9,2.6,1
37,-7.56,122.10992,22.9,3.85,0
38,-7.5,121.72869,20.6,3.47,0
39,-7.6,122.34307,18.2,2.65,2
40,-8.13,122.43217,12.7,2.9,2
41,-7.61,122.32348,30.8,2.78,0
42,-7.44,121.66871,10.0,3.22,2
43,-7.57,122.14957,10.0,2.96,2
44,-7.55,122.44773,11.0,2.7,2
45,-7.51,121.92542,15.8,2.83,2
46,-7.72,122.42518,16.8,2.91,2
47,-7.57,122.0304,16.2,2.96,2
48,-7.83,121.89261,10.0,2.78,2
49,-7.36,121.84091,10.0,3.17,2
50,-8.21,122.6992,117.6,2.66,1
51,-7.59,121.79842,20.6,3.54,0
52,-7.55,122.53397,10.0,3.39,2
53,-7.78,122.48138,12.3,2.9,2
54,-7.51,121.7257,10.0,3.72,2
55,-7.62,122.40676,29.1,3.15,0
56,-7.45,121.49035,10.0,3.26,2
57,-7.37,121.30872,10.0,3.3,2
58,-7.35,121.18428,12.4,2.85,2
59,-7.24,121.05794,12.1,2.54,2
60,-7.77,122.45623,28.2,3.13,0
61,-7.4,121.96156,10.0,3.23,2
62,-7.63,122.45603,26.9,2.91,0
63,-8.11,123.90723,165.9,3.16,1
64,-7.38,121.35573,10.0,3.05,2
65,-7.62,122.3336,26.1,2.98,0
66,-7.53,122.42489,28.5,3.5,0
67,-7.32,120.4626,10.0,2.84,2
68,-7.54,121.77773,14.4,3.95,2
69,-7.47,121.44875,10.0,3.08,2
70,-7.35,122.04321,10.0,3.13,2
71,-7.78,122.49886,12.8,2.85,2
72,-7.41,122.39522,10.0,3.35,2
73,-7.74,122.46811,12.2,3.51,2
74,-7.6,122.2358,24.3,2.98,0
75,-7.6,122.43546,27.5,3.22,0
76,-7.67,122.56866,17.2,3.61,2
77,-7.53,122.37737,10.0,3.5,2
78,-7.61,122.37995,10.0,4.06,2
79,-7.76,122.50896,33.8,3.54,0
80,-7.63,122.38258,10.0,3.25,2
81,-7.31,121.26014,10.0,2.99,2
82,-7.74,122.45407,24.7,3.27,0
83,-7.6,122.30498,10.0,3.06,2
84,-7.63,122.43639,62.3,3.46,1
85,-7.5,122.30871,10.0,3.21,2
86,-7.66,122.3528,14.0,3.34,2
87,-7.32,121.26348,10.0,3.54,2
88,-7.36,121.34662,10.0,3.48,2
89,-7.5,121.63782,10.0,3.32,2
90,-7.52,122.1244,23.5,3.26,0
91,-7.58,122.28967,24.3,2.8,0
92,-7.75,122.55054,22.2,3.4,0
93,-7.51,121.68478,10.0,3.75,2
94,-7.52,121.73457,20.5,3.19,0
95,-7.53,121.89932,11.5,3.33,2
96,-7.54,121.56598,10.0,3.14,2
97,-7.74,122.51485,26.5,3.21,0
98,-7.53,121.63505,10.0,3.4,2
99,-7.55,122.13766,20.6,3.4,0
100,-7.74,122.41173,10.0,3.48,2
101,-7.56,122.15034,13.3,3.34,2
102,-7.52,121.70235,15.2,3.8,2
103,-7.72,122.38967,10.5,3.02,2
104,-7.56,122.12125,26.3,3.22,0
105,-7.49,121.42,10.2,3.24,2
106,-7.32,122.40464,10.0,3.57,2
107,-7.56,122.06073,10.0,2.95,2
108,-7.35,121.03217,10.0,3.06,2
109,-8.52,123.29981,10.0,3.05,2
110,-7.76,122.53458,21.1,3.55,0
111,-7.78,122.17783,25.6,3.62,0
112,-7.36,121.70351,10.0,3.13,2
113,-7.65,122.3452,10.0,3.28,2
114,-7.66,121.95512,14.6,4.19,2
115,-7.77,122.36525,10.0,3.77,2
116,-7.53,121.60837,10.0,3.47,2
117,-7.64,122.40414,24.2,3.5,0
118,-7.64,122.40561,13.2,5.41,2
119,-7.8,122.48911,10.1,3.5,2
120,-7.62,122.37122,21.6,3.72,0
121,-7.76,122.51288,33.2,4.52,0
122,-7.5,121.62695,11.5,3.85,2
123,-7.66,122.06054,10.0,3.23,2
124,-7.71,122.4462,10.0,3.03,2
125,-7.48,121.7693,11.4,3.97,2
126,-7.56,121.83199,10.0,4.35,2
127,-7.75,122.48292,10.0,4.35,2
128,-7.58,122.34019,76.5,3.43,1
129,-7.63,122.39452,69.8,3.68,1
130,-7.41,122.22675,13.6,3.6,2
131,-7.52,121.75643,12.6,3.54,2
132,-7.65,122.26939,70.9,3.89,1
